Ensembl,logFC,FDR,Symbol,Genename,Chromosome
ENSG00000006831,0.596218216,0.017691711,ADIPOR2,adiponectin receptor 2,12
ENSG00000171045,0.770412717,0.017697545,TSNARE1,t-SNARE domain containing 1,8
ENSG00000064999,0.486702103,0.017711893,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A,6
ENSG00000083635,-0.576184552,0.017724512,NUFIP1,nuclear FMR1 interacting protein 1,13
ENSG00000126217,0.487576517,0.01774644,MCF2L,MCF.2 cell line derived transforming sequence like,13
ENSG00000170779,0.779554096,0.017768352,CDCA4,cell division cycle associated 4,14
ENSG00000104341,-0.472885946,0.017770495,LAPTM4B,lysosomal protein transmembrane 4 beta,8
ENSG00000182247,-0.490597001,0.017770495,UBE2E2,ubiquitin conjugating enzyme E2 E2,3
ENSG00000213906,0.845616747,0.017776794,LTB4R2,leukotriene B4 receptor 2,14
ENSG00000072315,-0.742260754,0.017796558,TRPC5,transient receptor potential cation channel subfamily C member 5,X
ENSG00000128242,1.010691646,0.017802833,GAL3ST1,galactose-3-O-sulfotransferase 1,22
ENSG00000251247,0.597366945,0.017802833,ZNF345,zinc finger protein 345,19
ENSG00000178607,0.518574966,0.017802833,ERN1,endoplasmic reticulum to nucleus signaling 1,17
ENSG00000146731,-0.551115537,0.017802833,CCT6A,chaperonin containing TCP1 subunit 6A,7
ENSG00000171132,-0.53048828,0.017802833,PRKCE,protein kinase C epsilon,2
ENSG00000104723,-0.765234846,0.017809166,TUSC3,tumor suppressor candidate 3,8
ENSG00000018610,-0.560384601,0.017816075,CXorf56,chromosome X open reading frame 56,X
ENSG00000176058,0.930646503,0.017826706,TPRN,taperin,9
ENSG00000198718,-0.451728671,0.017858596,TOGARAM1,TOG array regulator of axonemal microtubules 1,14
ENSG00000136450,-0.585768584,0.01787843,SRSF1,serine and arginine rich splicing factor 1,17
ENSG00000083720,-0.776390427,0.017890441,OXCT1,3-oxoacid CoA-transferase 1,5
ENSG00000119636,-0.599987219,0.017898367,BBOF1,basal body orientation factor 1,14
ENSG00000181072,-0.818391881,0.017915987,CHRM2,cholinergic receptor muscarinic 2,7
ENSG00000096092,-0.743415273,0.017915987,TMEM14A,transmembrane protein 14A,6
ENSG00000170502,-0.539474585,0.017915987,NUDT9,nudix hydrolase 9,4
ENSG00000100342,0.691613902,0.017961837,APOL1,apolipoprotein L1,22
ENSG00000122862,0.853521288,0.017961837,SRGN,serglycin,10
ENSG00000203814,0.716911526,0.017972153,H2BC18,H2B clustered histone 18,1
ENSG00000157227,0.910951595,0.017989459,MMP14,matrix metallopeptidase 14,14
ENSG00000175482,0.86632058,0.017989459,POLD4,"DNA polymerase delta 4, accessory subunit",11
ENSG00000197530,0.670318992,0.017989459,MIB2,mindbomb E3 ubiquitin protein ligase 2,1
ENSG00000128591,0.811273502,0.018006225,FLNC,filamin C,7
ENSG00000170439,0.922037582,0.018039503,METTL7B,methyltransferase like 7B,12
ENSG00000171443,0.79870531,0.018056771,ZNF524,zinc finger protein 524,19
ENSG00000172572,-0.546781614,0.018056771,PDE3A,phosphodiesterase 3A,12
ENSG00000197223,-0.653301392,0.018063272,C1D,C1D nuclear receptor corepressor,2
ENSG00000168010,0.638072722,0.01811858,ATG16L2,autophagy related 16 like 2,11
ENSG00000033867,-0.610639952,0.018151322,SLC4A7,solute carrier family 4 member 7,3
ENSG00000002745,-0.878696308,0.018173507,WNT16,Wnt family member 16,7
ENSG00000169957,0.713732262,0.018189715,ZNF768,zinc finger protein 768,16
ENSG00000140990,-0.594583699,0.018204593,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,16
ENSG00000139800,0.743064326,0.018204593,ZIC5,Zic family member 5,13
ENSG00000278129,0.531643039,0.018236191,ZNF8,zinc finger protein 8,19
ENSG00000144152,-0.701721883,0.018236191,FBLN7,fibulin 7,2
ENSG00000109680,-0.485845416,0.01830343,TBC1D19,TBC1 domain family member 19,4
ENSG00000068137,0.884867704,0.018316335,PLEKHH3,"pleckstrin homology, MyTH4 and FERM domain containing H3",17
ENSG00000179314,0.705577146,0.018316335,WSCD1,WSC domain containing 1,17
ENSG00000077420,0.884526226,0.018322187,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,10
ENSG00000176108,0.717863034,0.018326864,CHMP6,charged multivesicular body protein 6,17
ENSG00000122971,1.051297495,0.018326864,ACADS,acyl-CoA dehydrogenase short chain,12
ENSG00000113851,-0.477736175,0.018334879,CRBN,cereblon,3
ENSG00000123411,0.552653721,0.018345299,IKZF4,IKAROS family zinc finger 4,12
ENSG00000112541,-0.562132397,0.018346727,PDE10A,phosphodiesterase 10A,6
ENSG00000090989,-0.457297817,0.018346727,EXOC1,exocyst complex component 1,4
ENSG00000162188,-1.051255786,0.018377259,GNG3,G protein subunit gamma 3,11
ENSG00000116771,-0.752087392,0.018391123,AGMAT,agmatinase,1
ENSG00000132286,-0.451512017,0.018409364,TIMM10B,translocase of inner mitochondrial membrane 10B,11
ENSG00000130382,0.678769807,0.018437757,MLLT1,MLLT1 super elongation complex subunit,19
ENSG00000013523,0.507114466,0.018437757,ANGEL1,angel homolog 1,14
ENSG00000168724,-0.456462328,0.018437757,DNAJC21,DnaJ heat shock protein family (Hsp40) member C21,5
ENSG00000111961,0.630847563,0.018441777,SASH1,SAM and SH3 domain containing 1,6
ENSG00000112183,-0.582158789,0.018510482,RBM24,RNA binding motif protein 24,6
ENSG00000128683,-0.850951854,0.018512725,GAD1,glutamate decarboxylase 1,2
ENSG00000082458,-0.631082761,0.018524384,DLG3,discs large MAGUK scaffold protein 3,X
ENSG00000186047,-0.694815689,0.018524384,DLEU7,deleted in lymphocytic leukemia 7,13
ENSG00000179335,0.534252899,0.018544821,CLK3,CDC like kinase 3,15
ENSG00000133318,-0.79074571,0.018562632,RTN3,reticulon 3,11
ENSG00000136933,-0.475280223,0.018563497,RABEPK,Rab9 effector protein with kelch motifs,9
ENSG00000113583,-0.499643474,0.018593431,C5orf15,chromosome 5 open reading frame 15,5
ENSG00000174943,0.503352101,0.018600562,KCTD13,potassium channel tetramerization domain containing 13,16
ENSG00000168484,0.842879746,0.018614502,SFTPC,surfactant protein C,8
ENSG00000186310,-0.831002222,0.018623032,NAP1L3,nucleosome assembly protein 1 like 3,X
ENSG00000214226,0.665798511,0.018623277,C17orf67,chromosome 17 open reading frame 67,17
ENSG00000103855,0.578053038,0.01863583,CD276,CD276 molecule,15
ENSG00000102780,-0.579826656,0.01863583,DGKH,diacylglycerol kinase eta,13
ENSG00000101966,-0.390126142,0.018711437,XIAP,X-linked inhibitor of apoptosis,X
ENSG00000154263,-0.705224082,0.018711437,ABCA10,ATP binding cassette subfamily A member 10,17
ENSG00000158457,0.558005129,0.018722017,TSPAN33,tetraspanin 33,7
ENSG00000156521,0.595471172,0.018724054,TYSND1,trypsin domain containing 1,10
ENSG00000158156,1.000439966,0.018726419,XKR8,XK related 8,1
ENSG00000123080,0.733900012,0.018802812,CDKN2C,cyclin dependent kinase inhibitor 2C,1
ENSG00000100226,0.538900734,0.018809114,GTPBP1,GTP binding protein 1,22
ENSG00000275993,1.115331715,0.01882315,SIK1B,salt inducible kinase 1B (putative),21
ENSG00000089123,-0.499096098,0.01882315,TASP1,taspase 1,20
ENSG00000162998,-0.619423644,0.01882315,FRZB,frizzled related protein,2
ENSG00000188735,0.546943137,0.018825592,TMEM120B,transmembrane protein 120B,12
ENSG00000167992,0.769399919,0.018825592,VWCE,von Willebrand factor C and EGF domains,11
ENSG00000112576,0.590959979,0.018827504,CCND3,cyclin D3,6
ENSG00000138709,-0.458727364,0.018827504,LARP1B,La ribonucleoprotein 1B,4
ENSG00000183495,0.482093927,0.01882997,EP400,E1A binding protein p400,12
ENSG00000134775,-0.474633047,0.018871073,FHOD3,formin homology 2 domain containing 3,18
ENSG00000100147,0.736977736,0.018884018,CCDC134,coiled-coil domain containing 134,22
ENSG00000163053,-0.74545447,0.018916405,SLC16A14,solute carrier family 16 member 14,2
ENSG00000198783,-0.555618197,0.018924197,ZNF830,zinc finger protein 830,17
ENSG00000205323,0.632803258,0.018950288,SARNP,SAP domain containing ribonucleoprotein,12
ENSG00000162148,0.823278094,0.018950288,PPP1R32,protein phosphatase 1 regulatory subunit 32,11
ENSG00000165186,-0.564151344,0.019001784,PTCHD1,patched domain containing 1,X
ENSG00000100139,0.944928758,0.019068008,MICALL1,MICAL like 1,22
ENSG00000122033,-0.473519459,0.019068008,MTIF3,mitochondrial translational initiation factor 3,13
ENSG00000023318,-0.476091461,0.019068008,ERP44,endoplasmic reticulum protein 44,9
ENSG00000198301,-0.501890907,0.019068008,SDAD1,SDA1 domain containing 1,4
ENSG00000171204,-0.558804963,0.01907175,TMEM126B,transmembrane protein 126B,11
ENSG00000135968,-0.612487882,0.019075971,GCC2,GRIP and coiled-coil domain containing 2,2
ENSG00000102174,0.728696967,0.01910015,PHEX,phosphate regulating endopeptidase homolog X-linked,X
ENSG00000162687,-0.629913238,0.019128083,KCNT2,potassium sodium-activated channel subfamily T member 2,1
ENSG00000166477,-0.515553651,0.019149038,LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component",15
ENSG00000139496,-0.420364816,0.019177155,NUP58,nucleoporin 58,13
ENSG00000218891,1.086519264,0.01917969,ZNF579,zinc finger protein 579,19
ENSG00000171853,0.470769354,0.019188925,TRAPPC12,trafficking protein particle complex 12,2
ENSG00000134014,-0.527024785,0.01919318,ELP3,elongator acetyltransferase complex subunit 3,8
ENSG00000158560,-0.705897701,0.019202027,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1,7
ENSG00000144834,-0.965796604,0.019202027,TAGLN3,transgelin 3,3
ENSG00000163399,-0.74555025,0.019202027,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,1
ENSG00000143702,-0.445255768,0.019202027,CEP170,centrosomal protein 170,1
ENSG00000119328,-0.590667105,0.019221378,ABITRAM,actin binding transcription modulator,9
ENSG00000141696,0.654711654,0.019232793,P3H4,prolyl 3-hydroxylase family member 4 (inactive),17
ENSG00000118246,-0.53947853,0.019283031,FASTKD2,FAST kinase domains 2,2
ENSG00000156395,-0.527585335,0.019298384,SORCS3,sortilin related VPS10 domain containing receptor 3,10
ENSG00000242110,-0.657596843,0.019336744,AMACR,alpha-methylacyl-CoA racemase,5
ENSG00000139287,-1.114124231,0.019343177,TPH2,tryptophan hydroxylase 2,12
ENSG00000099139,0.487910089,0.019343394,PCSK5,proprotein convertase subtilisin/kexin type 5,9
ENSG00000145495,-0.489268634,0.019349945,MARCHF6,membrane associated ring-CH-type finger 6,5
ENSG00000154640,0.628949837,0.019477354,BTG3,BTG anti-proliferation factor 3,21
ENSG00000099860,0.797358363,0.019480515,GADD45B,growth arrest and DNA damage inducible beta,19
ENSG00000148985,0.754282126,0.019480515,PGAP2,post-GPI attachment to proteins 2,11
ENSG00000087087,0.513643012,0.019480515,SRRT,"serrate, RNA effector molecule",7
ENSG00000103365,0.444773428,0.01951532,GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2",16
ENSG00000168958,-0.445263159,0.019525754,MFF,mitochondrial fission factor,2
ENSG00000144840,-0.467060243,0.019529054,RABL3,"RAB, member of RAS oncogene family like 3",3
ENSG00000155307,0.889076102,0.019538035,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",21
ENSG00000175906,-0.863143849,0.019550546,ARL4D,ADP ribosylation factor like GTPase 4D,17
ENSG00000067225,-0.559417866,0.019550546,PKM,pyruvate kinase M1/2,15
ENSG00000112365,-0.519665391,0.019550873,ZBTB24,zinc finger and BTB domain containing 24,6
ENSG00000156103,-0.531699631,0.019553811,MMP16,matrix metallopeptidase 16,8
ENSG00000114395,1.037815636,0.019553811,CYB561D2,cytochrome b561 family member D2,3
ENSG00000204252,1.017773391,0.019563833,HLA-DOA,"major histocompatibility complex, class II, DO alpha",6
ENSG00000119321,0.409481503,0.019582901,FKBP15,FKBP prolyl isomerase 15,9
ENSG00000080573,0.953939559,0.019595985,COL5A3,collagen type V alpha 3 chain,19
ENSG00000126456,0.690441506,0.019602003,IRF3,interferon regulatory factor 3,19
ENSG00000033327,0.531093999,0.019602003,GAB2,GRB2 associated binding protein 2,11
ENSG00000164418,-0.707381611,0.019602003,GRIK2,glutamate ionotropic receptor kainate type subunit 2,6
ENSG00000188986,0.692117826,0.019608707,NELFB,negative elongation factor complex member B,9
ENSG00000004975,0.820222966,0.019616271,DVL2,dishevelled segment polarity protein 2,17
ENSG00000182359,-0.629090432,0.019637518,KBTBD3,kelch repeat and BTB domain containing 3,11
ENSG00000185127,-0.457637744,0.019637518,C6orf120,chromosome 6 open reading frame 120,6
ENSG00000076554,-0.651263404,0.01964536,TPD52,tumor protein D52,8
ENSG00000169006,0.688180287,0.019686472,NTSR2,neurotensin receptor 2,2
ENSG00000284299,-0.76435789,0.019784444,NA,NA,NA
ENSG00000158423,0.739979921,0.019794395,RIBC1,RIB43A domain with coiled-coils 1,X
ENSG00000204536,0.548228843,0.019795238,CCHCR1,coiled-coil alpha-helical rod protein 1,6
ENSG00000008441,0.52541714,0.019866638,NFIX,nuclear factor I X,19
ENSG00000121270,0.754015566,0.019869098,ABCC11,ATP binding cassette subfamily C member 11,16
ENSG00000241839,0.924935209,0.019909915,PLEKHO2,pleckstrin homology domain containing O2,15
ENSG00000188211,-0.569704048,0.019909915,NCR3LG1,natural killer cell cytotoxicity receptor 3 ligand 1,11
ENSG00000123500,-0.784668198,0.019909915,COL10A1,collagen type X alpha 1 chain,6
ENSG00000011028,0.816654976,0.019912504,MRC2,mannose receptor C type 2,17
ENSG00000081853,0.575343319,0.01991642,PCDHGA2,"protocadherin gamma subfamily A, 2",5
ENSG00000166847,-0.402387811,0.019919825,DCTN5,dynactin subunit 5,16
ENSG00000133561,0.74367407,0.019919825,GIMAP6,"GTPase, IMAP family member 6",7
ENSG00000188229,-0.556121516,0.019935567,TUBB4B,tubulin beta 4B class IVb,9
ENSG00000158480,0.552924388,0.019945586,SPATA2,spermatogenesis associated 2,20
ENSG00000100403,0.547186289,0.019993781,ZC3H7B,zinc finger CCCH-type containing 7B,22
ENSG00000167232,-0.619797091,0.019993781,ZNF91,zinc finger protein 91,19
ENSG00000186326,0.973164423,0.020021849,RGS9BP,regulator of G protein signaling 9 binding protein,19
ENSG00000131669,0.918149772,0.020044174,NINJ1,ninjurin 1,9
ENSG00000109118,0.473898624,0.020054104,PHF12,PHD finger protein 12,17
ENSG00000183943,0.644259431,0.020115596,PRKX,protein kinase X-linked,X
ENSG00000197566,-0.530165762,0.020115596,ZNF624,zinc finger protein 624,17
ENSG00000164934,-0.536381585,0.020120005,DCAF13,DDB1 and CUL4 associated factor 13,8
ENSG00000167625,0.592987542,0.02015769,ZNF526,zinc finger protein 526,19
ENSG00000205339,-0.530251218,0.02015769,IPO7,importin 7,11
ENSG00000134056,-0.678773236,0.02015769,MRPS36,mitochondrial ribosomal protein S36,5
ENSG00000151276,-0.425266032,0.02015769,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",3
ENSG00000212907,0.842448975,0.020164202,ND4L,"NADH dehydrogenase, subunit 4L (complex I)",MT
ENSG00000157470,-0.793932587,0.020164202,FAM81A,family with sequence similarity 81 member A,15
ENSG00000111261,-0.513706842,0.020164256,MANSC1,MANSC domain containing 1,12
ENSG00000171365,-0.538363468,0.020179315,CLCN5,chloride voltage-gated channel 5,X
ENSG00000217555,0.813760912,0.020179315,CKLF,chemokine like factor,16
ENSG00000161671,0.665894013,0.02021293,EMC10,ER membrane protein complex subunit 10,19
ENSG00000080189,0.624826637,0.020217128,SLC35C2,solute carrier family 35 member C2,20
ENSG00000091656,0.640799824,0.020242347,ZFHX4,zinc finger homeobox 4,8
ENSG00000090615,0.475848043,0.020245388,GOLGA3,golgin A3,12
ENSG00000254470,0.564550644,0.020260265,AP5B1,adaptor related protein complex 5 subunit beta 1,11
ENSG00000121101,1.017036339,0.020272345,TEX14,"testis expressed 14, intercellular bridge forming factor",17
ENSG00000100483,-0.541288291,0.020272345,VCPKMT,valosin containing protein lysine methyltransferase,14
ENSG00000197557,-0.602731621,0.020275114,TTC30A,tetratricopeptide repeat domain 30A,2
ENSG00000113389,-0.92423516,0.020313237,NPR3,natriuretic peptide receptor 3,5
ENSG00000167470,0.923794765,0.020349811,MIDN,midnolin,19
ENSG00000123472,-0.453810317,0.020349811,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,1
ENSG00000152154,-0.482257652,0.020355811,TMEM178A,transmembrane protein 178A,2
ENSG00000149483,0.509592355,0.020377549,TMEM138,transmembrane protein 138,11
ENSG00000112419,-0.436064728,0.020383012,PHACTR2,phosphatase and actin regulator 2,6
ENSG00000074319,-0.427536423,0.02041452,TSG101,tumor susceptibility 101,11
ENSG00000100413,0.556847164,0.020496001,POLR3H,RNA polymerase III subunit H,22
ENSG00000196700,0.645005652,0.020496001,ZNF512B,zinc finger protein 512B,20
ENSG00000109062,0.67060554,0.020496001,SLC9A3R1,SLC9A3 regulator 1,17
ENSG00000165379,-0.65327989,0.020496001,LRFN5,leucine rich repeat and fibronectin type III domain containing 5,14
ENSG00000132975,-0.777721317,0.020496328,GPR12,G protein-coupled receptor 12,13
ENSG00000197483,1.035810064,0.020499795,ZNF628,zinc finger protein 628,19
ENSG00000156471,-0.524659593,0.020499795,PTDSS1,phosphatidylserine synthase 1,8
ENSG00000068028,0.826541071,0.020499795,RASSF1,Ras association domain family member 1,3
ENSG00000038274,-0.625518082,0.020515407,MAT2B,methionine adenosyltransferase 2B,5
ENSG00000156140,-0.825775093,0.020515407,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,4
ENSG00000143756,-0.51494326,0.020515407,FBXO28,F-box protein 28,1
ENSG00000189007,-0.662874014,0.020536744,ADAT2,adenosine deaminase tRNA specific 2,6
ENSG00000175318,0.790916028,0.020553187,GRAMD2A,GRAM domain containing 2A,15
ENSG00000173141,-0.501481397,0.020564789,MRPL57,mitochondrial ribosomal protein L57,13
ENSG00000105605,0.739881114,0.020565017,CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7,19
ENSG00000110330,-0.459651291,0.020565017,BIRC2,baculoviral IAP repeat containing 2,11
ENSG00000250565,-0.550925896,0.0205749,ATP6V1E2,ATPase H+ transporting V1 subunit E2,2
ENSG00000154710,0.663815819,0.020576436,RABGEF1,RAB guanine nucleotide exchange factor 1,7
ENSG00000177301,-0.586159199,0.020580554,KCNA2,potassium voltage-gated channel subfamily A member 2,1
ENSG00000137275,0.534250592,0.020586279,RIPK1,receptor interacting serine/threonine kinase 1,6
ENSG00000205581,0.435781669,0.020597411,HMGN1,high mobility group nucleosome binding domain 1,21
ENSG00000197372,-0.527020729,0.020597411,ZNF675,zinc finger protein 675,19
ENSG00000271605,0.96363784,0.020597411,MILR1,mast cell immunoglobulin like receptor 1,17
ENSG00000131462,-0.557767042,0.020597411,TUBG1,tubulin gamma 1,17
ENSG00000237289,-0.794242337,0.020597411,CKMT1B,"creatine kinase, mitochondrial 1B",15
ENSG00000149084,-0.493661569,0.020597411,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12,11
ENSG00000197969,-0.642288609,0.020597411,VPS13A,vacuolar protein sorting 13 homolog A,9
ENSG00000146433,-0.455917961,0.020597411,TMEM181,transmembrane protein 181,6
ENSG00000135249,-0.470335604,0.020603646,RINT1,RAD50 interactor 1,7
ENSG00000104442,-0.535960781,0.020609314,ARMC1,armadillo repeat containing 1,8
ENSG00000118513,-0.849678678,0.020609314,MYB,"MYB proto-oncogene, transcription factor",6
ENSG00000006530,-0.493918705,0.020617787,AGK,acylglycerol kinase,7
ENSG00000140807,0.663737513,0.020634097,NKD1,NKD inhibitor of WNT signaling pathway 1,16
ENSG00000066455,-0.438098244,0.020634097,GOLGA5,golgin A5,14
ENSG00000060140,-0.913926044,0.020634097,STYK1,serine/threonine/tyrosine kinase 1,12
ENSG00000205133,-0.60966706,0.020634097,TRIQK,triple QxxK/R motif containing,8
ENSG00000187522,-0.586732018,0.020672697,HSPA14,heat shock protein family A (Hsp70) member 14,10
ENSG00000143207,-0.417995037,0.020702448,COP1,COP1 E3 ubiquitin ligase,1
ENSG00000114779,0.528693272,0.020704619,ABHD14B,abhydrolase domain containing 14B,3
ENSG00000187257,-0.436115192,0.020721363,RSBN1L,round spermatid basic protein 1 like,7
ENSG00000007372,0.530873949,0.02072706,PAX6,paired box 6,11
ENSG00000146856,-0.515573412,0.02072706,AGBL3,ATP/GTP binding protein like 3,7
ENSG00000163512,-0.577845322,0.020741159,AZI2,5-azacytidine induced 2,3
ENSG00000165502,-0.645660012,0.020753982,RPL36AL,ribosomal protein L36a like,14
ENSG00000117153,-0.514153545,0.020760049,KLHL12,kelch like family member 12,1
ENSG00000143384,0.488593587,0.02077339,MCL1,"MCL1 apoptosis regulator, BCL2 family member",1
ENSG00000215790,0.505797979,0.02077339,SLC35E2A,solute carrier family 35 member E2A,1
ENSG00000213699,0.56026143,0.020773544,SLC35F6,solute carrier family 35 member F6,2
ENSG00000182667,-0.446940438,0.020803294,NTM,neurotrimin,11
ENSG00000114999,-0.44648133,0.020803294,TTL,tubulin tyrosine ligase,2
ENSG00000048991,-0.609638666,0.020817078,R3HDM1,R3H domain containing 1,2
ENSG00000114744,-0.413521273,0.020874858,COMMD2,COMM domain containing 2,3
ENSG00000124074,0.786769287,0.02089767,ENKD1,enkurin domain containing 1,16
ENSG00000175352,-0.707946639,0.020901095,NRIP3,nuclear receptor interacting protein 3,11
ENSG00000130479,0.747075883,0.020929841,MAP1S,microtubule associated protein 1S,19
ENSG00000116138,-0.439508812,0.020954862,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,1
ENSG00000163510,-0.502601777,0.020990263,CWC22,CWC22 spliceosome associated protein homolog,2
ENSG00000186297,-0.597604733,0.021006447,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,15
ENSG00000119866,-0.489626941,0.021013739,BCL11A,BAF chromatin remodeling complex subunit BCL11A,2
ENSG00000196371,0.543340065,0.021051651,FUT4,fucosyltransferase 4,11
ENSG00000184575,-0.44194546,0.021059828,XPOT,exportin for tRNA,12
ENSG00000135211,-0.726887253,0.021107515,TMEM60,transmembrane protein 60,7
ENSG00000164134,-0.44403489,0.021107608,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",4
ENSG00000168491,-0.934247018,0.021114769,CCDC110,coiled-coil domain containing 110,4
ENSG00000147044,-0.418612859,0.021148517,CASK,calcium/calmodulin dependent serine protein kinase,X
ENSG00000184232,0.92071603,0.021175141,OAF,out at first homolog,11
ENSG00000174136,-0.498046132,0.021231013,RGMB,repulsive guidance molecule BMP co-receptor b,5
ENSG00000088881,0.8885161,0.021263415,EBF4,EBF family member 4,20
ENSG00000140941,-0.463172129,0.021294304,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,16
ENSG00000168615,-0.439413367,0.02130064,ADAM9,ADAM metallopeptidase domain 9,8
ENSG00000283378,1.901870536,0.02133516,CNTNAP3C,contactin associated protein like 3C,9
ENSG00000172594,-0.673707762,0.021360202,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A,6
ENSG00000161638,0.882389907,0.021404859,ITGA5,integrin subunit alpha 5,12
ENSG00000058272,-0.529169512,0.021404859,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,12
ENSG00000111669,-0.688383548,0.02142343,TPI1,triosephosphate isomerase 1,12
ENSG00000131653,0.703904335,0.021453262,TRAF7,TNF receptor associated factor 7,16
ENSG00000121579,-0.417388179,0.021453262,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",3
ENSG00000011243,0.467159545,0.021453503,AKAP8L,A-kinase anchoring protein 8 like,19
ENSG00000179941,-0.630740507,0.021465843,BBS10,Bardet-Biedl syndrome 10,12
ENSG00000204149,0.701452518,0.021465843,AGAP6,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",10
ENSG00000099958,1.131809403,0.021516773,DERL3,derlin 3,22
ENSG00000114850,-0.485121725,0.021527271,SSR3,signal sequence receptor subunit 3,3
ENSG00000185100,0.738606747,0.02155864,ADSS1,adenylosuccinate synthase 1,14
ENSG00000165233,0.833002449,0.02155864,CARD19,caspase recruitment domain family member 19,9
ENSG00000170248,-0.492534937,0.02155864,PDCD6IP,programmed cell death 6 interacting protein,3
ENSG00000174586,0.803576566,0.021585868,ZNF497,zinc finger protein 497,19
ENSG00000153790,0.811579009,0.021595474,C7orf31,chromosome 7 open reading frame 31,7
ENSG00000188763,1.204494608,0.021595474,FZD9,frizzled class receptor 9,7
ENSG00000198792,0.769694741,0.021609204,TMEM184B,transmembrane protein 184B,22
ENSG00000204161,0.73384363,0.021609204,TMEM273,transmembrane protein 273,10
ENSG00000149547,-0.36486751,0.021656087,EI24,EI24 autophagy associated transmembrane protein,11
ENSG00000134333,-0.753378967,0.02166641,LDHA,lactate dehydrogenase A,11
ENSG00000165527,-0.41390635,0.021673587,ARF6,ADP ribosylation factor 6,14
ENSG00000127191,0.674712386,0.021673587,TRAF2,TNF receptor associated factor 2,9
ENSG00000170017,-0.585228768,0.021673587,ALCAM,activated leukocyte cell adhesion molecule,3
ENSG00000110844,0.474442656,0.021701237,PRPF40B,pre-mRNA processing factor 40 homolog B,12
ENSG00000070444,0.535342392,0.021756181,MNT,MAX network transcriptional repressor,17
ENSG00000141013,0.422302103,0.02177511,GAS8,growth arrest specific 8,16
ENSG00000048740,-0.614110754,0.021784954,CELF2,CUGBP Elav-like family member 2,10
ENSG00000110367,-0.56239337,0.021835062,DDX6,DEAD-box helicase 6,11
ENSG00000006282,0.596879443,0.021835815,SPATA20,spermatogenesis associated 20,17
ENSG00000105053,0.542588861,0.02183625,VRK3,VRK serine/threonine kinase 3,19
ENSG00000141295,0.6359886,0.02183625,SCRN2,secernin 2,17
ENSG00000089234,-0.469345105,0.02183625,BRAP,BRCA1 associated protein,12
ENSG00000095970,1.086304143,0.02183625,TREM2,triggering receptor expressed on myeloid cells 2,6
ENSG00000137968,-0.688182786,0.02183625,SLC44A5,solute carrier family 44 member 5,1
ENSG00000131966,-0.698339588,0.021839435,ACTR10,actin related protein 10,14
ENSG00000254505,0.731183814,0.021839435,CHMP4A,charged multivesicular body protein 4A,14
ENSG00000185414,-0.497705143,0.021839958,MRPL30,mitochondrial ribosomal protein L30,2
ENSG00000116786,0.571888738,0.021839958,PLEKHM2,pleckstrin homology and RUN domain containing M2,1
ENSG00000108784,0.959200784,0.021873124,NAGLU,N-acetyl-alpha-glucosaminidase,17
ENSG00000137478,0.489029791,0.021945199,FCHSD2,FCH and double SH3 domains 2,11
ENSG00000103121,-0.469984992,0.021948224,CMC2,C-X9-C motif containing 2,16
ENSG00000168952,-0.573228077,0.021965167,STXBP6,syntaxin binding protein 6,14
ENSG00000095585,0.859972458,0.021971585,BLNK,B cell linker,10
ENSG00000149599,0.697256978,0.021973404,DUSP15,dual specificity phosphatase 15,20
ENSG00000143473,-0.513322284,0.021998349,KCNH1,potassium voltage-gated channel subfamily H member 1,1
ENSG00000102103,-0.390962479,0.022011457,PQBP1,polyglutamine binding protein 1,X
ENSG00000100104,-0.381919042,0.022011457,SRRD,SRR1 domain containing,22
ENSG00000111684,0.574138311,0.022031399,LPCAT3,lysophosphatidylcholine acyltransferase 3,12
ENSG00000146733,0.529969553,0.022031399,PSPH,phosphoserine phosphatase,7
ENSG00000065609,-0.761487811,0.022031399,SNAP91,synaptosome associated protein 91,6
ENSG00000143469,-0.528569159,0.022031399,SYT14,synaptotagmin 14,1
ENSG00000167861,0.660876283,0.022045938,HID1,HID1 domain containing,17
ENSG00000188897,1.20902446,0.022057269,LOC400499,putative uncharacterized protein LOC400499,16
